exp	azimuth	deepcrispr	deephf
0.42079457364341	0.6785	0.2531521022	0.6991329789161682
0.486875386736433	0.6587	0.1543141454	0.7173669934272766
0.17028675502984603	0.7003	0.1617085636	0.6506701707839966
0.163450730610715	0.7458	0.3698504567	0.674863874912262
0.145155826558265	0.6905	0.4622502923	0.6965674161911011
0.260414605185038	0.629	0.0962886214	0.5562821626663208
0.46052301517621896	0.7442	0.4916610718	0.6334331631660461
0.34096096585582303	0.5961	0.2206976861	0.5499559044837952
0.300625920471281	0.633	0.2077124119	0.6829209923744202
0.414504716981132	0.6966	0.1730134785	0.6274607181549072
0.735745288067067	0.6136	0.3420916200	0.6884772777557373
0.29696406443618295	0.6505	0.1567144096	0.6904741525650024
0.46721355471265996	0.6433	0.3655701280	0.6210710406303406
0.0655435317265125	0.6753	0.3000648022	0.6671804189682007
0.7329168791432941	0.6045	0.3501356244	0.6883346438407898
0.7519607843137249	0.6125	0.2787203193	0.6959565281867981
0.23717879797871202	0.6781	0.2462275028	0.6660417318344116
0.0827996680992298	0.6663	0.1341822147	0.6698494553565979
0.640103176758077	0.7525	0.2337523699	0.7418200373649597
0.138852157457362	0.7708	0.3371975422	0.6943163275718689
0.4001728608470179	0.8241	0.4446756244	0.7476852536201477
0.521670292482475	0.6464	0.2260279208	0.6874216794967651
0.593200478439799	0.5881	0.1579420269	0.4785376787185669
0.5798351865110091	0.5969	0.1774797440	0.718852698802948
0.6106789076518441	0.7384	0.3584783375	0.7100414633750916
0.399437016185784	0.6533	0.2336619496	0.6891916990280151
0.6539276580197291	0.7509	0.3977293372	0.746708869934082
0.579693775100401	0.6045	0.1914879084	0.6933066844940186
0.45009250243427396	0.6638	0.2368081957	0.7280137538909912
0.157255451713395	0.6962	0.2633817792	0.6561015844345093
0.507289856291907	0.5815	0.1599442065	0.5930178165435791
0.13097426470588197	0.6792	0.1722058952	0.6283941864967346
0.36518128116822995	0.6672	0.2972484231	0.7517621517181396
0.280216744306418	0.6205	0.1959369779	0.6478204727172852
0.503788612219081	0.636	0.0823409557	0.4857674241065979
0.17453220161490302	0.638	0.2314046323	0.6888403296470642
0.0910091609106654	0.6567	0.4149280488	0.6350671052932739
0.114880952380952	0.6723	0.1846354157	0.6173009872436523
0.138606699672089	0.6352	0.1693221331	0.44605493545532227
0.713492364003534	0.5673	0.0766531229	0.6725633144378662
0.190237283857124	0.6982	0.4478324056	0.6929362416267395
0.131985575638856	0.5585	0.1479366720	0.6911181807518005
0.0517778592375366	0.6428	0.2240440547	0.6897338628768921
0.7434859154929571	0.6906	0.2849540710	0.6297072768211365
0.136081977622561	0.6546	0.2497733235	0.6094038486480713
0.333294908547095	0.6574	0.1625711620	0.6798582077026367
0.38311688311688297	0.473	0.4557151496	0.622456967830658
